epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,4371.62,0.85866,0.64287,1.17461,0.83363,0.68988,0.77829,0.5264,1.20062,0.8744,1.46451,0.0001948,0.0001948,0.0001948
124,4558.7,0.85436,0.64187,1.17732,0.8196,0.69809,0.77761,0.52611,1.19955,0.8722,1.45998,0.0001882,0.0001882,0.0001882
125,4745.46,0.84926,0.63276,1.16529,0.80436,0.71484,0.77852,0.52768,1.19991,0.87013,1.46185,0.0001816,0.0001816,0.0001816
126,4931.84,0.85748,0.6349,1.16826,0.81869,0.70035,0.77995,0.52724,1.20033,0.87242,1.45869,0.000175,0.000175,0.000175
127,5118.49,0.84787,0.62871,1.16344,0.80349,0.7109,0.77849,0.52719,1.19803,0.87017,1.45667,0.0001684,0.0001684,0.0001684
128,5306.54,0.84073,0.624,1.16823,0.81615,0.70145,0.77516,0.52739,1.19981,0.87023,1.4573,0.0001618,0.0001618,0.0001618
129,5494.05,0.82899,0.6177,1.16418,0.82158,0.70161,0.77835,0.52939,1.19774,0.87091,1.4545,0.0001552,0.0001552,0.0001552
130,5683.04,0.83358,0.62044,1.1641,0.81475,0.70339,0.77632,0.52577,1.20305,0.8764,1.46121,0.0001486,0.0001486,0.0001486
131,5869.15,0.82585,0.61475,1.15782,0.82529,0.70073,0.77833,0.52703,1.20517,0.87573,1.46424,0.000142,0.000142,0.000142
132,6055.73,0.8354,0.6244,1.15854,0.83294,0.70114,0.77907,0.52694,1.20745,0.87656,1.46446,0.0001354,0.0001354,0.0001354
133,6241.97,0.82717,0.61023,1.15203,0.82874,0.69908,0.77781,0.52655,1.20911,0.87797,1.4679,0.0001288,0.0001288,0.0001288
134,6428.83,0.82369,0.60309,1.15149,0.82269,0.7049,0.77819,0.52719,1.20813,0.87761,1.46791,0.0001222,0.0001222,0.0001222
135,6615.6,0.81961,0.59758,1.14827,0.8213,0.70939,0.77735,0.52753,1.20818,0.87896,1.46694,0.0001156,0.0001156,0.0001156
136,6802.74,0.8135,0.60039,1.14588,0.82516,0.70123,0.77667,0.5262,1.20622,0.88026,1.46328,0.000109,0.000109,0.000109
137,6989.62,0.806,0.59505,1.14435,0.80896,0.70947,0.77642,0.52599,1.2059,0.87917,1.46441,0.0001024,0.0001024,0.0001024
138,7176.84,0.81371,0.60051,1.14984,0.80552,0.7153,0.77576,0.52501,1.20718,0.88132,1.46595,9.58e-05,9.58e-05,9.58e-05
139,7364.43,0.79836,0.58755,1.13486,0.8034,0.71919,0.7774,0.52542,1.20818,0.88054,1.46745,8.92e-05,8.92e-05,8.92e-05
140,7552.49,0.79109,0.58499,1.13726,0.80244,0.71707,0.77711,0.52687,1.20679,0.88137,1.46669,8.26e-05,8.26e-05,8.26e-05
141,1713.63,0.84348,0.55961,1.15991,0.81583,0.70868,0.77618,0.5254,1.2049,0.88003,1.46915,7.6e-05,7.6e-05,7.6e-05
142,1908.1,0.81006,0.5253,1.13836,0.81068,0.70786,0.77615,0.52577,1.20228,0.8789,1.46424,6.94e-05,6.94e-05,6.94e-05
143,2100.4,0.81483,0.52514,1.13595,0.82017,0.70369,0.77541,0.52578,1.20129,0.87766,1.46107,6.28e-05,6.28e-05,6.28e-05
144,2292.7,0.79266,0.50589,1.12146,0.81444,0.71107,0.77667,0.527,1.19978,0.87701,1.4583,5.62e-05,5.62e-05,5.62e-05
145,2485.06,0.79182,0.50351,1.12251,0.81829,0.7034,0.77695,0.52747,1.19893,0.87961,1.45708,4.96e-05,4.96e-05,4.96e-05
146,2678.02,0.7897,0.50708,1.12672,0.81144,0.70709,0.77627,0.52775,1.19774,0.87823,1.45651,4.3e-05,4.3e-05,4.3e-05
147,2870.47,0.79133,0.50196,1.11669,0.82659,0.7016,0.77673,0.52923,1.1973,0.87729,1.45679,3.64e-05,3.64e-05,3.64e-05
148,3063.54,0.78913,0.50646,1.11761,0.82425,0.70398,0.77675,0.52838,1.19736,0.87568,1.45538,2.98e-05,2.98e-05,2.98e-05
149,3256.61,0.77369,0.49543,1.11113,0.82573,0.7042,0.77709,0.52829,1.19713,0.87615,1.45458,2.32e-05,2.32e-05,2.32e-05
150,3449.49,0.77861,0.49175,1.1153,0.82547,0.7044,0.77719,0.5285,1.19651,0.87596,1.4535,1.66e-05,1.66e-05,1.66e-05
